Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
443,493987,1,1,0,0,0,0,0,0,0,0,0,0,0,4.04868954,493987,0,493987,493987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2.02434477,2.02434477,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,20,-1,65535,0,0,0,0,0,0,0,0,0,0
443,620195,1,1,0,0,0,0,0,0,0,0,0,0,0,3.224792202,620195,0,620195,620195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1.612396101,1.612396101,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,20,-1,65535,0,0,0,0,0,0,0,0,0,0
443,1822397,1,1,0,0,0,0,0,0,0,0,0,0,0,1.097455714,1822397,0,1822397,1822397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.548727857,0.548727857,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,20,-1,65535,0,0,0,0,0,0,0,0,0,0
443,1696999,1,1,0,0,0,0,0,0,0,0,0,0,0,1.178551078,1696999,0,1696999,1696999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.589275539,0.589275539,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,20,-1,65535,0,0,0,0,0,0,0,0,0,0
443,2190157,4,2,213,1460,126,0,53.25,63.51574608,1460,0,730,1032.375901,763.872179,2.739529632,438031.4,921080.5264,2083891,54,2088655,696218.3333,1201761.89,2083891,131,101448,101448,0,101448,101448,0,0,0,0,80,40,1.826353088,0.913176544,0,1460,239,540.863199,292533,0,0,0,0,1,0,0,0,0,278.8333333,53.25,730,80,-1,64240,2,0,0,0,0,0,0,0,0,0
443,488668,1,1,0,0,0,0,0,0,0,0,0,0,0,4.092758274,488668,0,488668,488668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2.046379137,2.046379137,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,20,-1,63533,0,0,0,0,0,0,0,0,0,0
443,391086,1,1,213,213,213,213,213,0,213,213,213,0,1089.274482,5.113964703,391086,0,391086,391086,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,2.556982352,2.556982352,213,213,213,0,0,1,0,0,1,1,0,0,0,1,319.5,213,213,20,-1,65535,1,0,0,0,0,0,0,0,0,0
443,23046102,18,15,1014,10857,213,0,56.33333333,86.41214512,1460,0,723.8,576.6814174,515.0979545,1.431912434,720190.6875,2833670.971,16058758,52,5903566,347268.5882,525264.6301,2004343,1121,23046102,1646150.143,4190752.018,16058816,3264,0,0,0,0,372,316,0.781043146,0.650869288,0,1460,349.1470588,509.1137357,259196.7959,0,1,0,0,0,0,0,0,0,359.7272727,56.33333333,723.8,372,-1,64240,6,0,0,0,0,0,0,0,0,0
443,703435,1,1,0,0,0,0,0,0,0,0,0,0,0,2.843190913,703435,0,703435,703435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1.421595457,1.421595457,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,20,-1,65535,0,0,0,0,0,0,0,0,0,0
443,703471,1,1,0,0,0,0,0,0,0,0,0,0,0,2.843045413,703471,0,703471,703471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1.421522707,1.421522707,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,20,-1,65535,0,0,0,0,0,0,0,0,0,0
49783,603312,0,2,0,213,0,0,0,0,213,0,106.5,150.6137444,353.0511576,3.315034344,603312,0,603312,603312,0,0,0,0,0,603312,603312,0,603312,603312,0,0,0,0,0,40,0,3.315034344,0,213,71,122.9756073,15123,0,0,0,0,1,0,0,0,0,106.5,0,106.5,0,-1,65535,0,0,0,0,0,0,0,0,0,0
443,1187271,1,1,0,0,0,0,0,0,0,0,0,0,0,1.684535376,1187271,0,1187271,1187271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.842267688,0.842267688,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,20,-1,65535,0,0,0,0,0,0,0,0,0,0
443,1187172,1,1,0,0,0,0,0,0,0,0,0,0,0,1.684675852,1187172,0,1187172,1187172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.842337926,0.842337926,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,20,-1,65535,0,0,0,0,0,0,0,0,0,0
443,964837,0,3,0,31,0,0,0,0,31,0,10.33333333,17.89785834,32.12977943,3.109333494,482418.5,681674.2716,964435,402,0,0,0,0,0,964837,482418.5,681674.2716,964435,402,0,0,0,0,0,60,0,3.109333494,0,31,7.75,15.5,240.25,1,0,0,0,1,0,0,0,0,10.33333333,0,10.33333333,0,-1,64239,0,0,0,0,0,0,0,0,0,0
443,1208260,0,2,0,395,0,0,0,0,395,0,197.5,279.3071786,326.9163922,1.655272872,1208260,0,1208260,1208260,0,0,0,0,0,1208260,1208260,0,1208260,1208260,0,0,0,0,0,40,0,1.655272872,0,395,131.6666667,228.0533563,52008.33333,0,0,0,0,1,0,0,0,0,197.5,0,197.5,0,-1,64240,0,0,0,0,0,0,0,0,0,0
443,13346,0,2,0,31,0,0,0,0,31,0,15.5,21.92031022,2322.793346,149.8576352,13346,0,13346,13346,0,0,0,0,0,13346,13346,0,13346,13346,0,0,0,0,0,40,0,149.8576352,0,31,10.33333333,17.89785834,320.3333333,0,0,1,0,1,0,0,0,0,15.5,0,15.5,0,-1,64239,0,0,0,0,0,0,0,0,0,0
443,24426278,12,12,196,11288,196,0,16.33333333,56.58032638,1460,0,940.6666667,604.2117831,470.1494022,0.982548385,1062012.087,2076150.067,8223854,35,23325986,2120544.182,2647728.672,8223889,1743,24426278,2220570.727,2670067.162,8223929,1196,0,0,0,0,264,256,0.491274192,0.491274192,0,1460,459.36,625.7382893,391548.4067,0,1,0,0,0,0,0,0,1,478.5,16.33333333,940.6666667,264,-1,64240,1,0,5545962.5,7840660.912,11090147,1778,6666578.5,2202320.132,8223854,5109303
443,24553766,22,11,1421,5772,196,0,64.59090909,79.40412553,1460,0,524.7272727,666.2465146,292.9489513,1.34398935,767305.1875,1836200.428,9764661,39,13703014,652524.4762,946043.3448,3347502,1175,24553766,2455376.6,3540991.82,9764661,2445,0,0,0,0,464,236,0.8959929,0.44799645,0,1460,211.5588235,432.4005012,186970.1934,0,1,0,0,0,0,0,0,0,217.969697,64.59090909,524.7272727,464,-1,64240,13,0,0,0,0,0,0,0,0,0
443,24413,0,2,0,31,0,0,0,0,31,0,15.5,21.92031022,1269.815262,81.92356531,24413,0,24413,24413,0,0,0,0,0,24413,24413,0,24413,24413,0,0,0,0,0,40,0,81.92356531,0,31,10.33333333,17.89785834,320.3333333,0,0,0,0,1,0,0,0,0,15.5,0,15.5,0,-1,64240,0,0,0,0,0,0,0,0,0,0
443,2702249,1,1,0,0,0,0,0,0,0,0,0,0,0,0.740124245,2702249,0,2702249,2702249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.370062122,0.370062122,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,20,-1,65535,0,0,0,0,0,0,0,0,0,0
