No.,Time,Source,Destination,Protocol,Length,Info,Tcp Flags,Source MAC,Destination MAC,Source IP ARP,Destination IP ARP,Time to live,Flags,Delta time,Frame length,Label
3675,31:41.2,199.232.210.172,192.168.77.21,TCP,1513,"[TCP Spurious Retransmission] 80  >  49961 [PSH, ACK] Seq=234986 Ack=879 Win=64240 Len=1459 [TCP segment of a reassembled PDU]",\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.000344,1513,0
3676,31:41.2,192.168.77.21,199.232.210.172,TCP,54,[TCP Dup ACK 3668#4] 49961  >  80 [ACK] Seq=879 Ack=236445 Win=56940 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,128,0x4000,2.60E-05,54,0
3677,31:41.2,199.232.210.172,192.168.77.21,TCP,1514,"80  >  49961 [PSH, ACK] Seq=236445 Ack=879 Win=64240 Len=1460 [TCP segment of a reassembled PDU]",\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.001537,1514,0
3678,31:41.2,199.232.210.172,192.168.77.21,TCP,1514,"80  >  49961 [PSH, ACK] Seq=237905 Ack=879 Win=64240 Len=1460 [TCP segment of a reassembled PDU]",\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.000353,1514,0
3679,31:41.2,192.168.77.21,199.232.210.172,TCP,54,49961  >  80 [ACK] Seq=879 Ack=239365 Win=54020 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,128,0x4000,3.00E-05,54,0
3680,31:41.2,199.232.210.172,192.168.77.21,TCP,1514,"80  >  49961 [PSH, ACK] Seq=239365 Ack=879 Win=64240 Len=1460 [TCP segment of a reassembled PDU]",\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.001647,1514,0
3681,31:41.2,199.232.210.172,192.168.77.21,TCP,1514,"80  >  49961 [PSH, ACK] Seq=240825 Ack=879 Win=64240 Len=1460 [TCP segment of a reassembled PDU]",\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.000527,1514,0
3682,31:41.2,192.168.77.21,199.232.210.172,TCP,54,49961  >  80 [ACK] Seq=879 Ack=242285 Win=51100 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,128,0x4000,4.70E-05,54,0
3683,31:41.2,199.232.210.172,192.168.77.21,TCP,1514,"80  >  49961 [PSH, ACK] Seq=242285 Ack=879 Win=64240 Len=1460 [TCP segment of a reassembled PDU]",\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.001897,1514,0
3684,31:41.2,199.232.210.172,192.168.77.21,TCP,1514,"80  >  49961 [PSH, ACK] Seq=243745 Ack=879 Win=64240 Len=1460 [TCP segment of a reassembled PDU]",\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.000292,1514,0
3685,31:41.2,192.168.77.21,199.232.210.172,TCP,54,49961  >  80 [ACK] Seq=879 Ack=245205 Win=48180 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,128,0x4000,3.00E-05,54,0
3686,31:41.2,199.232.210.172,192.168.77.21,TCP,1514,80  >  49961 [ACK] Seq=245205 Ack=879 Win=64240 Len=1460 [TCP segment of a reassembled PDU],\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.001973,1514,0
